ID,MQ1,MQ2,MQ3,MQ4,Total score,,,,,ID,FQ1,FQ2,FQ3,FQ4,Total score
8,3,3,4,4,14,,,,,8,4,4,4,4,16
11,3,2,5,4,14,,,,,11,2,2,5,2,11
12,4,4,5,4,17,,,,,12,2,3,3,3,11
13,4,4,5,4,17,,,,,13,4,3,4,4,15
14,3,3,3,4,13,,,,,14,2,2,2,2,8
15,3,3,5,4,15,,,,,15,3,4,5,5,17
16,3,2,4,3,12,,,,,16,4,3,4,4,15
17,3,2,4,3,12,,,,,17,2,2,4,2,10
18,4,4,5,3,16,,,,,18,4,4,5,3,16
19,3,5,5,4,17,,,,,19,4,4,5,5,18
20,3,3,3,4,13,,,,,20,3,3,3,3,12
21,3,3,4,4,14,,,,,21,2,2,4,3,11
22,4,4,5,4,17,,,,,22,3,3,4,3,13
23,4,3,4,4,15,,,,,23,3,4,4,4,15
24,4,4,4,3,15,,,,,24,3,4,4,4,15
25,3,3,5,4,15,,,,,25,5,4,5,4,18
26,4,4,4,3,15,,,,,26,2,2,3,3,10
27,4,5,5,5,19,,,,,27,4,4,4,4,16
28,4,1,3,1,9,,,,,28,1,1,3,3,8
29,3,3,3,3,12,,,,,29,3,3,3,3,12
30,3,3,4,4,14,,,,,30,4,4,4,4,16
31,4,4,5,5,18,,,,,31,4,4,4,4,16
32,3,2,5,3,13,,,,,32,3,3,4,4,14
33,3,4,5,4,16,,,,,33,3,3,5,3,14
34,2,4,5,4,15,,,,,34,2,2,5,2,11
35,3,5,5,5,18,,,,,35,3,3,5,4,15
37,2,2,4,3,11,,,,,37,2,2,4,3,11
38,3,4,4,4,15,,,,,38,3,3,3,3,12
39,5,3,4,3,15,,,,,39,4,2,4,2,12
40,4,4,5,5,18,,,,,40,4,4,5,5,18
41,3,3,5,4,15,,,,,41,2,3,4,2,11
42,2,3,5,3,13,,,,,42,3,3,5,3,14
43,2,3,5,4,14,,,,,43,2,2,5,2,11
44,4,5,5,4,18,,,,,44,3,3,4,3,13
45,3,3,5,4,15,,,,,45,4,4,5,4,17
46,4,4,4,4,16,,,,,46,2,2,3,2,9
47,3,3,4,4,14,,,,,47,3,3,4,4,14
49,4,4,5,5,18,,,,,49,3,3,5,3,14
51,4,4,4,3,15,,,,,51,3,3,3,3,12
54,3,3,5,4,15,,,,,54,3,3,5,5,16
55,3,4,4,4,15,,,,,55,2,2,3,2,9
56,2,2,5,3,12,,,,,56,3,3,5,3,14
57,2,2,5,3,12,,,,,57,4,4,5,5,18
58,4,5,5,4,18,,,,,58,3,3,3,4,13
59,3,3,4,4,14,,,,,59,4,3,4,3,14
